id chr pos
cg16472853 chr2 43598959
cg07469838 chr2 60703084
cg12972447 chr2 60714018
cg01005605 chr2 60757902
cg27159979 chr2 60763331
cg15152331 chr2 160958810
cg04737150 chr2 161077747
cg26055370 chr2 161233779
cg17824540 chr2 161260031
cg03298167 chr2 227663911
cg04399631 chr3 12269362
cg07075085 chr3 64572729
cg23078228 chr3 64711384
cg25366141 chr3 64782524
cg21324884 chr3 64801329
cg05509179 chr3 64887780
cg02917236 chr3 64903186
cg18649464 chr3 65181932
cg17251609 chr3 65489574
cg06329316 chr3 65567126
cg17580935 chr3 65583240
cg08023852 chr3 65864381
cg10964627 chr3 65985404
cg05131623 chr3 179755285
cg17086759 chr4 6303693
cg01736356 chr4 164465789
cg15498306 chr4 164534641
cg13078134 chr4 165109478
cg08748033 chr4 165111372
cg05278955 chr5 76381538
cg17117794 chr6 20533952
cg00682125 chr6 20999098
cg15377009 chr7 27937556
cg16429505 chr7 100488398
cg08719712 chr7 130419485
cg06038655 chr7 130419675
cg09529138 chr7 130419792
cg02423044 chr7 130419932
cg15099666 chr7 130626559
cg00911776 chr7 130682239
cg14406814 chr9 10232876
cg14689537 chr10 94450866
cg05923857 chr10 114911615
cg17608440 chr10 114912149
cg07861463 chr10 114912175
cg06938601 chr10 132942686
cg18424850 chr10 132945786
cg27115973 chr11 2481206
cg17229197 chr11 2542688
cg08920458 chr11 2584917
cg15422307 chr11 2693503
cg20406758 chr11 2703128
cg08160246 chr11 2709914
cg25204743 chr11 2715837
cg01744331 chr11 2722358
cg10712687 chr11 92714801
cg07269374 chr12 66176707
cg05233774 chr12 66192970
cg16965605 chr12 66312027
cg16624984 chr12 66330136
cg04950931 chr12 71552457
cg04830629 chr12 71558336
cg15909056 chr12 71837175
cg19788934 chr12 121455706
cg19714332 chr13 80058898
cg11770323 chr13 80066032
cg05969360 chr13 80443435
cg05317600 chr13 80612156
cg01050273 chr14 101120705
cg14282221 chr14 101121018
cg19294311 chr15 62358920
cg27474175 chr15 80363992
cg18866183 chr15 80397886
cg22556056 chr17 2228003
